translation,reference,source,translation_clean,reference_clean,source_clean
 More uses to buy this takeaway.,But use them to buy your flock.,Mas use-os para comprar seu rebanho., more uses to buy this takeaway ,but use them to buy your flock ,mas use os para comprar seu rebanho 
 Did you already know him? How would it be good for him again?,"Do we know each other? Anyways, it would be nice to see you again.","Já conhecemos?, mas seria bom vê-lo novamente.", did you already know him how would it be good for him again ,do we know each other anyways it would be nice to see you again ,já conhecemos mas seria bom vê lo novamente 
 Almost give him the feeling that he was not desired.,It almost gives him the feeling that he was not desired.,Quase dá a ele a sensação de que ele não era desejado., almost give him the feeling that he was not desired ,it almost gives him the feeling that he was not desired ,quase dá a ele a sensação de que ele não era desejado 
" 4 large men are eating together, no one seems to be a food contest.",Four huge men are eating together in what looks like a food contest.,Quatro homens grandes estão comendo juntos no que parece ser um concurso de comida., 4 large men are eating together no one seems to be a food contest ,four huge men are eating together in what looks like a food contest ,quatro homens grandes estão comendo juntos no que parece ser um concurso de comida 
" If you face these discrepants, this would reduce the artifacts.","If you compared the outliers, it would reduce the number of artefactual results.","Se você enfrentasse esses valores discrepantes, isso reduziria os artefatos.", if you face these discrepants this would reduce the artifacts ,if you compared the outliers it would reduce the number of artefactual results ,se você enfrentasse esses valores discrepantes isso reduziria os artefatos 
 His anxiety exploded.,His anxiety took over.,Sua ansiedade explodiu., his anxiety exploded ,his anxiety took over ,sua ansiedade explodiu 
 Now,No.,Não., now,no ,não 
" panはいませんなねなに Alternatively, she was confused.",The old pan was totally dirty.,A velha panela estava coberta de calda dura., panはいませんなねなに alternatively she was confused ,the old pan was totally dirty ,a velha panela estava coberta de calda dura 
 He towns in flash,He rented a flat.,Ele alugou um flat., he towns in flash,he rented a flat ,ele alugou um flat 
" Man, play guitar for the baby.",Man plays guitar for a little baby.,Homem toca guitarra para bebezinho., man play guitar for the baby ,man plays guitar for a little baby ,homem toca guitarra para bebezinho 
" A mother and a son, the way together, while the son carries a bandit.",A mother and son walk together while the son carries a flag.,Uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira., a mother and a son the way together while the son carries a bandit ,a mother and son walk together while the son carries a flag ,uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira 
 The evaluation must be extended for other teams.,The assessment should be extended to other data sets.,A avaliação deve ser estendida para outros conjuntos de dados., the evaluation must be extended for other teams ,the assessment should be extended to other data sets ,a avaliação deve ser estendida para outros conjuntos de dados 
 A woman is paying for a purchase and other two women look for magazines.,"One woman is paying for a purchase, while two other women look at magazines.","Uma mulher está pagando por uma compra, enquanto outras duas mulheres olham para revistas.", a woman is paying for a purchase and other two women look for magazines ,one woman is paying for a purchase while two other women look at magazines ,uma mulher está pagando por uma compra enquanto outras duas mulheres olham para revistas 
 Albulaены,Wait for the signal!,Aguarde o sinal!, albulaены,wait for the signal ,aguarde o sinal 
" There are four different types of combustible, in this gas tank.",There are four different types of fuel at this gas station.,Existem quatro tipos diferentes de combustível neste posto de gasolina., there are four different types of combustible in this gas tank ,there are four different types of fuel at this gas station ,existem quatro tipos diferentes de combustível neste posto de gasolina 
 A man is reading a newspaper in a train or a bus.,A man is reading a newspaper on a train or bus.,Um homem está lendo um jornal em um trem ou ônibus., a man is reading a newspaper in a train or a bus ,a man is reading a newspaper on a train or bus ,um homem está lendo um jornal em um trem ou ônibus 
 4 people dancing in a dance,Four people swinging on a swing.,Quatro pessoas balançando em um balanço., 4 people dancing in a dance,four people swinging on a swing ,quatro pessoas balançando em um balanço 
" A group of people is approaching a little baby, the ambulance came.",A group of people is next to a street vendor.,Um grupo de pessoas está próximo a um pequeno vendedor ambulante., a group of people is approaching a little baby the ambulance came ,a group of people is next to a street vendor ,um grupo de pessoas está próximo a um pequeno vendedor ambulante 
" A young girl, apart from Camisa Vermeila, enters a terror street.",A young boy in red shirt walks down a dirt street.,Um jovem rapaz de camisa vermelha entra em uma rua de terra., a young girl apart from camisa vermeila enters a terror street ,a young boy in red shirt walks down a dirt street ,um jovem rapaz de camisa vermelha entra em uma rua de terra 
 You planed your activity until the end of the week still?,Did you plan your weekend activity?,Você planejou sua atividade de fim de semana ainda?, you planed your activity until the end of the week still ,did you plan your weekend activity ,você planejou sua atividade de fim de semana ainda 
 The vaccines can inform some protection during the time of the war.,Vaccines can provide some protection during the flu season.,As vacinas podem fornecer alguma proteção durante a temporada de gripe., the vaccines can inform some protection during the time of the war ,vaccines can provide some protection during the flu season ,as vacinas podem fornecer alguma proteção durante a temporada de gripe 
 Scholar,The surprised man looked at the angel.,O homem olhou para o anjo surpreso., scholar,the surprised man looked at the angel ,o homem olhou para o anjo surpreso 
 He could not help.,He couldn't help it.,Ele não podia ajudá-lo., he could not help ,he couldn t help it ,ele não podia ajudá lo 
 my wife will be with me at any time,My wife will be with me at anytime.,Minha esposa vai ficar comigo a qualquer momento., my wife will be with me at any time,my wife will be with me at anytime ,minha esposa vai ficar comigo a qualquer momento 
 She is accused of stealing a watch.,She is accused of stealing a watch.,Ela é acusada de roubar um relógio., she is accused of stealing a watch ,she is accused of stealing a watch ,ela é acusada de roubar um relógio 
 Anoz does the dance is causing one tickets to our fridge to pray for a better result.,A child is wearing a yellow snorkel mask in a bubble bath.,Uma criança está usando uma máscara de snorkel amarela em um banho de espuma, anoz does the dance is causing one tickets to our fridge to pray for a better result ,a child is wearing a yellow snorkel mask in a bubble bath ,uma criança está usando uma máscara de snorkel amarela em um banho de espuma
