,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
136, As pessoas estão do lado de fora de um edifício perto de uma rua.,As pessoas estão do lado de fora de um edifício perto de uma rua.,People are outside a building next to the street., as pessoas estão do lado de fora de um edifício perto de uma rua ,as pessoas estão do lado de fora de um edifício perto de uma rua ,people are outside a building next to the street 
137, Nenhum estudioso se atreve a dizer que está certo.,Nenhum estudioso se atreve a dizer que está certo.,No thinker dares to say they are right., nenhum estudioso se atreve a dizer que está certo ,nenhum estudioso se atreve a dizer que está certo ,no thinker dares to say they are right 
138, Eu fico mais chutando dessa maneira.,Eu fico mais chutando dessa maneira.,I kick more like that., eu fico mais chutando dessa maneira ,eu fico mais chutando dessa maneira ,i kick more like that 
139, Um homem de camisa branca fuma enquanto dá instruções.,Um homem de camisa branca fuma enquanto dá instruções.,A man in a white shirt smokes while giving instructions., um homem de camisa branca fuma enquanto dá instruções ,um homem de camisa branca fuma enquanto dá instruções ,a man in a white shirt smokes while giving instructions 
140, Essa mulher é bonita.,Essa mulher é bonita.,This woman is beautiful., essa mulher é bonita ,essa mulher é bonita ,this woman is beautiful 
141, Eu vou falar com você hoje à noite.,Eu vou falar com você hoje a noite.,I will talk with you tonight., eu vou falar com você hoje à noite ,eu vou falar com você hoje a noite ,i will talk with you tonight 
142, Notarização,Notarização,Notarization., notarização,notarização,notarization 
143, Ficando um monte de coisas erradas.,Ficando um monte de coisas erradas,A lot of things are getting wrong., ficando um monte de coisas erradas ,ficando um monte de coisas erradas,a lot of things are getting wrong 
144, Várias pessoas estão colhendo culturas em um mercado urbano.,Várias pessoas estão colhendo culturas em um mercado urbano.,Several people are harvesting in an urban market., várias pessoas estão colhendo culturas em um mercado urbano ,várias pessoas estão colhendo culturas em um mercado urbano ,several people are harvesting in an urban market 
145, Donald Trump e Barack Obama não são bons amigos,Donald Trump e Barack Obama não são bons amigos.,Donald Trump and Barack Obama are not good friends., donald trump e barack obama não são bons amigos,donald trump e barack obama não são bons amigos ,donald trump and barack obama are not good friends 
146, O mesmo livro que me ensinou sobre Urim e Tumim.,O mesmo livro que me ensinou sobre Urim e Tumim.,The same book that taught me about Urim and Tumim., o mesmo livro que me ensinou sobre urim e tumim ,o mesmo livro que me ensinou sobre urim e tumim ,the same book that taught me about urim and tumim 
147, Subindo para ver Erim.,Subindo para ver Erin.,Going up to see Erin., subindo para ver erim ,subindo para ver erin ,going up to see erin 
148, A girafa ficou com medo.,A girafa ficou com medo.,The giraffe was afraid., a girafa ficou com medo ,a girafa ficou com medo ,the giraffe was afraid 
149, Ela retraiu de sua declaração.,Ela retraiu sua declaração.,She retracted her statement., ela retraiu de sua declaração ,ela retraiu sua declaração ,she retracted her statement 
150," Era, no entanto, ainda estava tão quente que cebou pelo ar.","Era?, no entanto? ainda estava tão quente de seu voo pelo ar.",Was it? So what? it’s still far away by his air flight., era no entanto ainda estava tão quente que cebou pelo ar ,era no entanto ainda estava tão quente de seu voo pelo ar ,was it so what it s still far away by his air flight 
151, Um grupo de mulheres cantando juntas.,Um grupo de mulheres cantando juntas.,A group of women singing together., um grupo de mulheres cantando juntas ,um grupo de mulheres cantando juntas ,a group of women singing together 
152," Um jovem está carregando algo em grande saco de leite, de plástico preto.",Um jovem está carregando algo em um grande saco de lixo de plástico preto.,A young man is carrying something in a large black plastic trash bag., um jovem está carregando algo em grande saco de leite de plástico preto ,um jovem está carregando algo em um grande saco de lixo de plástico preto ,a young man is carrying something in a large black plastic trash bag 
153," Em partir, o Rio é um legislativo.",Invadir o Yuan Legislativo,To invade the Legislative Yuan., em partir o rio é um legislativo ,invadir o yuan legislativo,to invade the legislative yuan 
154, Mas use-os para comprar seu rebanho.,Mas use-os para comprar seu rebanho.,But use them to buy your flock., mas use os para comprar seu rebanho ,mas use os para comprar seu rebanho ,but use them to buy your flock 
155," Já conhecemos, mas seria bom ver novamente.","Já conhecemos?, mas seria bom vê-lo novamente.","Do we know each other? Anyways, it would be nice to see you again.", já conhecemos mas seria bom ver novamente ,já conhecemos mas seria bom vê lo novamente ,do we know each other anyways it would be nice to see you again 
156, Quase dá a ele a sensação de que ele não era desejado.,Quase dá a ele a sensação de que ele não era desejado.,It almost gives him the feeling that he was not desired., quase dá a ele a sensação de que ele não era desejado ,quase dá a ele a sensação de que ele não era desejado ,it almost gives him the feeling that he was not desired 
157, Quatro homens grandes estão comendo juntos no que parece ser um concurso de comida.,Quatro homens grandes estão comendo juntos no que parece ser um concurso de comida.,Four huge men are eating together in what looks like a food contest., quatro homens grandes estão comendo juntos no que parece ser um concurso de comida ,quatro homens grandes estão comendo juntos no que parece ser um concurso de comida ,four huge men are eating together in what looks like a food contest 
158," Se você enfrentasse esses valores discrepantes, isso reduziria os artefatos.","Se você enfrentasse esses valores discrepantes, isso reduziria os artefatos.","If you compared the outliers, it would reduce the number of artefactual results.", se você enfrentasse esses valores discrepantes isso reduziria os artefatos ,se você enfrentasse esses valores discrepantes isso reduziria os artefatos ,if you compared the outliers it would reduce the number of artefactual results 
159, Sua ansiedade explodiu.,Sua ansiedade explodiu.,His anxiety took over., sua ansiedade explodiu ,sua ansiedade explodiu ,his anxiety took over 
160, Não.,Não.,No., não ,não ,no 
161, A velha panela estava coberta de calda dura.,A velha panela estava coberta de calda dura.,The old pan was totally dirty., a velha panela estava coberta de calda dura ,a velha panela estava coberta de calda dura ,the old pan was totally dirty 
162, Ele alugou um flat.,Ele alugou um flat.,He rented a flat., ele alugou um flat ,ele alugou um flat ,he rented a flat 
163, Homem toca guitarra para bebezinho,Homem toca guitarra para bebezinho.,Man plays guitar for a little baby., homem toca guitarra para bebezinho,homem toca guitarra para bebezinho ,man plays guitar for a little baby 
164, Uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira.,Uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira.,A mother and son walk together while the son carries a flag., uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira ,uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira ,a mother and son walk together while the son carries a flag 
165, A avaliação deve ser estendida para outros conjuntos de dados.,A avaliação deve ser estendida para outros conjuntos de dados.,The assessment should be extended to other data sets., a avaliação deve ser estendida para outros conjuntos de dados ,a avaliação deve ser estendida para outros conjuntos de dados ,the assessment should be extended to other data sets 
166, Uma mulher está pagando por uma compra enquanto outras duas mulheres olham para revistas.,"Uma mulher está pagando por uma compra, enquanto outras duas mulheres olham para revistas.","One woman is paying for a purchase, while two other women look at magazines.", uma mulher está pagando por uma compra enquanto outras duas mulheres olham para revistas ,uma mulher está pagando por uma compra enquanto outras duas mulheres olham para revistas ,one woman is paying for a purchase while two other women look at magazines 
167, Aguarde o sinal.,Aguarde o sinal!,Wait for the signal!, aguarde o sinal ,aguarde o sinal ,wait for the signal 
168, Existem quatro tipos diferentes de combustível neste posto de gasolina.,Existem quatro tipos diferentes de combustível neste posto de gasolina.,There are four different types of fuel at this gas station., existem quatro tipos diferentes de combustível neste posto de gasolina ,existem quatro tipos diferentes de combustível neste posto de gasolina ,there are four different types of fuel at this gas station 
169, Um homem está lendo um jornal em um trem ou ônibus.,Um homem está lendo um jornal em um trem ou ônibus.,A man is reading a newspaper on a train or bus., um homem está lendo um jornal em um trem ou ônibus ,um homem está lendo um jornal em um trem ou ônibus ,a man is reading a newspaper on a train or bus 
170, 4 pessoas balançando em um balanço,Quatro pessoas balançando em um balanço.,Four people swinging on a swing., 4 pessoas balançando em um balanço,quatro pessoas balançando em um balanço ,four people swinging on a swing 
171, Um grupo de pessoas está próximo a um pequeno vendedor ambulante.,Um grupo de pessoas está próximo a um pequeno vendedor ambulante.,A group of people is next to a street vendor., um grupo de pessoas está próximo a um pequeno vendedor ambulante ,um grupo de pessoas está próximo a um pequeno vendedor ambulante ,a group of people is next to a street vendor 
172, Um jovem rapaz de camisa vermelha entra em uma rua de terra.,Um jovem rapaz de camisa vermelha entra em uma rua de terra.,A young boy in red shirt walks down a dirt street., um jovem rapaz de camisa vermelha entra em uma rua de terra ,um jovem rapaz de camisa vermelha entra em uma rua de terra ,a young boy in red shirt walks down a dirt street 
